2020-12-04 15:39:51 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 78, in getRefreshESP32Pic: [FileNotFoundError] 2
2020-12-04 16:05:17 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 107, in getRefreshNanoPic: [PermissionError] 13
2020-12-04 16:17:41 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 108, in getRefreshNanoPic: [UnboundLocalError] local variable 'e' referenced before assignment
2020-12-04 16:18:09 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 108, in getRefreshNanoPic: [UnboundLocalError] local variable 'e' referenced before assignment
2020-12-04 16:23:26 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:26 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:26 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:30 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:30 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:30 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
2020-12-04 16:23:30 - ERROR -Administrator : File "C:\Users\Administrator\Desktop\R2RDashbord\app\routes.py", line 110, in getRefreshNanoPic: [AttributeError] 'str' object has no attribute 'args'
